pair,similarity
N1 R1,77.65
N1 U1,74.45
H1 Y1,74
W1 Z1,72.75
U1 V1,72.5
O1 U1,72.4
I1 T1,71.7
A1 A2,71.5
K1 T1,71.45
T1 X1,70.55
O1 R1,70.5
B2 X1,70.1
U1 X1,69.05
T1 W1,68.85
O1 W1,68.65
I1 J1,67.8
J1 W1,67.6
J1 R1,67.5
H1 I1,66.4
F1 W1,65.85
J1 T1,64.95
U1 W1,64.7
G1 M1,64.65
O1 X1,64
B2 T1,63.25
F1 U1,63.05
R1 X1,62.55
A2 W1,62.45
I1 K1,61.7
W1 X1,61.55
N1 X1,61.35
N1 V1,61.25
O1 Z1,61.15
B1 P1,60.8
A2 F1,60.4
B2 R1,60.35
I1 W1,60.15
R1 U1,60.05
T1 U1,59.7
J1 Z1,59.55
P1 U1,59.45
F1 R1,59.4
H1 M1,59.25
R1 W1,58.85
V1 W1,58.5
R1 V1,58.3
L1 U1,58.05
X1 Z1,57.95
V1 X1,57.8
B1 C2,57.7
J1 K1,57.6
M1 Y1,57.55
N1 W1,57.1
A1 B1,57.05
I1 P1,57
N1 O1,56.95
F1 X1,56.9
H1 T1,56.6
S1 Z1,56.5
J1 O1,56.45
J1 X1,56.4
A1 U1,56.35
B2 O1,56.35
E1 F1,56.2
B2 L1,56.05
L1 N1,56
A2 Z1,55.85
O1 T1,55.5
U1 Z1,55.5
A1 O1,55.45
P1 V1,55.25
S1 X1,55.15
K1 L1,55.1
T1 Z1,55
A2 B1,54.65
B2 U1,54.6
O1 S1,54.4
A1 S1,54.3
S1 W1,54.3
G1 S1,54.25
F1 Z1,54.05
B2 N1,53.9
R1 S1,53.8
S1 U1,53.8
E1 O1,53.7
A2 S1,53.65
L1 R1,53.65
K1 Z1,53.45
J1 L1,53.35
K1 W1,53.35
L1 O1,53.35
M1 S1,53.25
E1 N1,53.05
R1 T1,52.7
P1 X1,52.65
F1 L1,52.6
B2 W1,52.45
C2 H1,52.4
H1 W1,52.35
O1 Q1,52.2
B1 S1,52.15
H1 J1,52.15
B2 S1,52.1
Q1 Z1,51.95
Y1 Z1,51.9
F1 J1,51.8
A1 R1,51.45
