"i","rt","response","trial_type","trial_index","time_elapsed","internal_node_id","group1","group2","pair"
1,4226,5,"html-slider-response",2,31733,"0.0-2.0-0.0","D1","H1","D1 H1"
1,3428,4,"html-slider-response",3,35262,"0.0-2.0-0.1","C1","G1","C1 G1"
1,3594,93,"html-slider-response",4,38958,"0.0-2.0-0.2","K1","L1","K1 L1"
1,2971,11,"html-slider-response",5,42030,"0.0-2.0-0.3","C1","F1","C1 F1"
1,2081,70,"html-slider-response",6,44214,"0.0-2.0-0.4","B1","I1","B1 I1"
1,2002,0,"html-slider-response",7,46318,"0.0-2.0-0.5","D1","L1","D1 L1"
1,2545,97,"html-slider-response",8,48967,"0.0-2.0-0.6","A1","B1","A1 B1"
1,1979,14,"html-slider-response",9,51047,"0.0-2.0-0.7","C1","I1","C1 I1"
1,2946,20,"html-slider-response",10,54095,"0.0-2.0-0.8","D1","K1","D1 K1"
1,1874,80,"html-slider-response",11,56071,"0.0-2.0-0.9","I1","K1","I1 K1"
1,2731,93,"html-slider-response",12,58904,"0.0-2.0-0.10","I1","J1","I1 J1"
1,2066,0,"html-slider-response",13,61073,"0.0-2.0-0.11","A1","C1","A1 C1"
1,1945,77,"html-slider-response",14,63120,"0.0-2.0-0.12","B1","H1","B1 H1"
1,1955,86,"html-slider-response",15,65177,"0.0-2.0-0.13","F1","I1","F1 I1"
1,2819,72,"html-slider-response",16,68097,"0.0-2.0-0.14","A1","G1","A1 G1"
1,2932,62,"html-slider-response",17,71131,"0.0-2.0-0.15","G1","K1","G1 K1"
1,1971,66,"html-slider-response",18,73204,"0.0-2.0-0.16","G1","L1","G1 L1"
1,1619,60,"html-slider-response",19,74924,"0.0-2.0-0.17","A1","L1","A1 L1"
1,1531,0,"html-slider-response",20,76556,"0.0-2.0-0.18","A1","D1","A1 D1"
1,2121,92,"html-slider-response",21,78781,"0.0-2.0-0.19","F1","J1","F1 J1"
1,1802,94,"html-slider-response",22,80684,"0.0-2.0-0.20","E1","H1","E1 H1"
1,1803,77,"html-slider-response",23,82589,"0.0-2.0-0.21","H1","J1","H1 J1"
2,3100,79,"html-slider-response",2,12826,"0.0-2.0-0.0","A1","B1","A1 B1"
2,2474,75,"html-slider-response",3,15402,"0.0-2.0-0.1","F1","I1","F1 I1"
2,2338,35,"html-slider-response",4,17845,"0.0-2.0-0.2","C1","G1","C1 G1"
2,2623,89,"html-slider-response",5,20574,"0.0-2.0-0.3","I1","J1","I1 J1"
2,2617,16,"html-slider-response",6,23294,"0.0-2.0-0.4","D1","K1","D1 K1"
2,2944,21,"html-slider-response",7,26340,"0.0-2.0-0.5","C1","I1","C1 I1"
2,2021,11,"html-slider-response",8,28464,"0.0-2.0-0.6","C1","F1","C1 F1"
2,2827,61,"html-slider-response",9,31392,"0.0-2.0-0.7","A1","L1","A1 L1"
2,2567,0,"html-slider-response",10,34063,"0.0-2.0-0.8","A1","D1","A1 D1"
2,2596,74,"html-slider-response",11,36765,"0.0-2.0-0.9","I1","K1","I1 K1"
2,3057,34,"html-slider-response",12,39923,"0.0-2.0-0.10","G1","L1","G1 L1"
2,3421,39,"html-slider-response",13,43450,"0.0-2.0-0.11","B1","I1","B1 I1"
2,2662,26,"html-slider-response",14,46216,"0.0-2.0-0.12","A1","G1","A1 G1"
2,3715,26,"html-slider-response",15,50035,"0.0-2.0-0.13","E1","H1","E1 H1"
2,5629,26,"html-slider-response",16,55767,"0.0-2.0-0.14","A1","C1","A1 C1"
2,2937,0,"html-slider-response",17,58810,"0.0-2.0-0.15","D1","L1","D1 L1"
2,2972,36,"html-slider-response",18,61884,"0.0-2.0-0.16","G1","K1","G1 K1"
2,4132,58,"html-slider-response",19,66120,"0.0-2.0-0.17","K1","L1","K1 L1"
2,2382,27,"html-slider-response",20,68604,"0.0-2.0-0.18","B1","H1","B1 H1"
2,2262,84,"html-slider-response",21,70969,"0.0-2.0-0.19","H1","J1","H1 J1"
2,2427,28,"html-slider-response",22,73500,"0.0-2.0-0.20","D1","H1","D1 H1"
2,2832,83,"html-slider-response",23,76435,"0.0-2.0-0.21","F1","J1","F1 J1"
3,5142,0,"html-slider-response",2,6743,"0.0-2.0-0.0","F1","J1","F1 J1"
3,2196,69,"html-slider-response",3,9040,"0.0-2.0-0.1","I1","K1","I1 K1"
3,1718,0,"html-slider-response",4,10859,"0.0-2.0-0.2","E1","H1","E1 H1"
3,1682,0,"html-slider-response",5,12642,"0.0-2.0-0.3","C1","I1","C1 I1"
3,1615,0,"html-slider-response",6,14357,"0.0-2.0-0.4","D1","H1","D1 H1"
3,1801,80,"html-slider-response",7,16258,"0.0-2.0-0.5","G1","L1","G1 L1"
3,1497,10,"html-slider-response",8,17872,"0.0-2.0-0.6","A1","D1","A1 D1"
3,1368,49,"html-slider-response",9,19341,"0.0-2.0-0.7","F1","I1","F1 I1"
3,1388,9,"html-slider-response",10,20832,"0.0-2.0-0.8","A1","L1","A1 L1"
3,1603,0,"html-slider-response",11,22535,"0.0-2.0-0.9","G1","K1","G1 K1"
3,1655,0,"html-slider-response",12,24292,"0.0-2.0-0.10","A1","C1","A1 C1"
3,1715,62,"html-slider-response",13,26107,"0.0-2.0-0.11","C1","F1","C1 F1"
3,2599,90,"html-slider-response",14,28807,"0.0-2.0-0.12","A1","B1","A1 B1"
3,2517,70,"html-slider-response",15,31440,"0.0-2.0-0.13","B1","H1","B1 H1"
